CONCISE NET LIST - 1  
ADC_DAV                  LK54_1           1        1-HOLE_0-8-BASE 
ADC_DAV                  R18_1            1        RSMD0402_1/16W-51,1%
ADC_DAV                  U3               W1       PC049A_FPGA     
ANALOG_TO_MAROC<0>       J1               2        CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<0>       U1_1             238      MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<1>       J1               3        CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<1>       U1_1             239      MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<2>       J1               6        CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<2>       U1_1             240      MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<3>       J1               7        CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<3>       U1_1             1        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<4>       J1               10       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<4>       U1_1             2        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<5>       J1               11       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<5>       U1_1             3        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<6>       J1               14       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<6>       U1_1             4        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<7>       J1               15       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<7>       U1_1             5        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<8>       J1               18       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<8>       U1_1             6        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<9>       J1               19       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<9>       U1_1             7        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<10>      J1               22       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<10>      U1_1             8        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<11>      J1               23       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<11>      U1_1             9        MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<12>      J1               26       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<12>      U1_1             10       MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<13>      J1               27       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<13>      U1_1             11       MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<14>      J1               30       CON150P-QTS75_03FDA-P1=GND_SIGA
ANALOG_TO_MAROC<14>      U1_1             12       MAROC3_PQFP-IN2P3
ANALOG_TO_MAROC<15>      J1               31       CON150P-QTS75_03FDA-P1=GND_SIGA
