CONCISE PART LIST - 1  
1-HOLE_0-8-BASE                           77      
24AA64T-I/MC     24AA64T-I/MC             1       
570CAC000121DG-GND=GND_SIGNAL,A 570CAC000121DG           1       
AD5662BRMZ-1-GND=GND_SIGNAL,VDA AD5662BRMZ-1             2       
AD8031_SOT23-5-AD AD8031ARTZ-R2            1       
BNX022-01        BNX022-01                3       
CAPCERSMDCL1_0603-100PF,50V CC0603_100PF_50V_5%_NP0  3       
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R 120     
CAPCERSMDCL2_0402-1NF_X7R,50V CC0402_1NF_50V_10%_X7R   1       
CAPCERSMDCL2_0402-1UF,16V CC0402_1UF0_16V_10%_X5R  12      
CAPCERSMDCL2_0402-2.2UF,6.3V CC0402_2UF2_6V3_20%_X5R  1       
CAPCERSMDCL2_0402-4.7UF,4V CC0402_4UF7_4V_10%_X7R   10      
CAPCERSMDCL2_0603-100NF,16V CC0603_100NF_16V_10%_X7R 3       
CAPCERSMDCL2_0603-10UF,6.3V CC0603_10UF_6V3_20%_X5R  5       
CAPCERSMDCL2_0603-2.2UF,10V CC0603_2UF2_10V_10%_Y5V  5       
CAPCERSMDCL2_0603-22UF,4V CC0603_22UF_4V_20%_X5R   4       
CAPCERSMDCL2_0603-4.7UF,6.3V_GA CC0603_4UF7_6V3_10%_X5R  1       
CAPCERSMDCL2_0603-XX,50V CC0603_UNSPEC_50V_10%_X7R 2       
CAPCERSMDCL2_0805-22UF,6.3V CC0805_22UF_6V3_15%_X7R  13      
CAPCERSMDCL2_1206-100UF_X5R,6.A CC1206_100UF_6V3_20%_X5R 9       
CAPCERSMDCL2_1210-10UF,50V CC1210_10UF_50V_10%_X7R  12      
CAPCERSMDCL2_1210-47UF_X5R,6.3V CC1210_47UF_6V3_20%_X5R  6       
CDCM61004RHB     CDCM61004RHB             1       
CON12P-TSM-106-01-S-DV TSM-106-01-S-DV          1       
CON14P-MOLEX_87831 87831-1420               1       
CON150P-QTS75_03FDA-P1=GND_SIGA QTS-075-03-F-D-A         1       
CON20P_SFP-1367073-1 1367073-1                2       
CON2P-MSTBA2,5/2-G-5,08 1757242                  1       
CON3P-SIL254D    MTLW-103-07-L-S-250      2       
CON6P-SSW-103-01-G-D SSW-103-01-G-D           1       
CONABC96-09 03 196 6921 09 03 196 6921           1       
CONABC96-09 73 296 6801 09 73 296 6801           1       
DIODE_CA_SCHOTTKY-RB751V40T1 RB751V40T1G              1       
DS18B20U+        DS18B20U+                1       
DS90LV001TM-GND=GND_SIGNAL,VCCA DS90LV001TM              3       
DS92001TMA-GND=GND_SIGNAL,VCC=A DS92001TMA               2       
ELCAPTAN_SMD-150UF,20V CTE7343-43_150UF_20V_10% 3       
ELCAPTAN_SMD-220UF,6.3V 6TPB220ML                4       
FERRITE_C0805-LI0805H121R-10,LA LI0805H121R-10           5       
FERRITE_SMD-220Z,ILBB_0603 ILBB-0603-220            4       
LED-HSMG-C150    HSMG-C150                3       
LED-HSMH-C150    HSMH-C150                3       
LED-HSMY-C150    HSMY-C150                1       
LM2937IMP_SOT223-2.5V,TI TI LM2937IMP-2.5         1       
LM4040-CIM3-2.5V,0.5% LM4040CIM3-2.5           1       
LP38692_SOT223-ADJ,TEXAS INSTRA LP38692MP-ADJ            1       
LT1585_TO263-3V3 LT1585CM-3.3             1       
LT1585_TO263-ADJ LT1585CM                 1       
LT3070EUFD#PBF-GND=GND_SIGNAL LT3070EUFD#PBF           1       
LTM4606EV#PBF    LTM4606EV#PBF            3       
MAROC3_PQFP-IN2P3 MAROC3                   1       
MC100LVEL05_SOIC-ON SEMICONDUCA MC100LVEL05              1       
OSC_6P_VCTRL_ENDIS_OUT_124-CFPB 20MHz CFPV-45            1       
OSC_VCXO_4P_OSC_4PIN_53S-25MHZA VM53S3-25.000-2.5/-30+75 1       
PC049A_FPGA                               1       
R4ISMD_1206-150  776-658                  3       
R4ISMD_1206-4.7K 776-749                  1       
